City,Eq_Latitude,Eq_Longitude,Magnitude,Depth
Muğla,36.9063,27.62,4.5,16.79
Muğla,36.9051,27.645,4.2,9.12
Kahramanmaraş,37.571999999999996,37.5423,4.3,9.02
Muğla,37.1208,27.699,4.7,6.92
Muğla,37.1061,27.7338,4.3,7.0
Muğla,37.1186,27.694000000000003,4.1,6.56
Muğla,37.114000000000004,27.689,4.8,22.6
Gümüşhane,39.9381,39.6228,4.0,12.1
Muğla,36.9783,27.6608,4.1,13.74
Manisa,39.3031,27.8866,4.0,13.08
Muğla,36.9576,27.6236,5.1,11.03
Muğla,36.9738,27.6458,4.3,6.86
Muğla,36.9905,27.6285,4.1,9.14
Muğla,36.9616,27.6188,4.1,11.87
Muğla,36.9951,27.6128,4.6,12.67
Muğla,36.9601,27.6333,4.4,20.97
Muğla,36.9913,27.6035,4.0,10.25
Muğla,36.9956,27.5933,4.3,10.37
Çanakkale,40.0158,27.1296,4.0,14.72
Muğla,36.9,27.576,4.0,15.1
Muğla,36.916,27.551,4.0,13.3
Muğla,36.941,27.331999999999997,5.0,37.5
Muğla,36.91,27.678,4.2,14.7
Muğla,36.9585,27.3845,4.1,11.1
Muğla,36.9005,27.6475,4.2,7.61
Muğla,36.8773,27.6468,4.1,6.99
Muğla,36.9195,27.6128,4.5,1.43
Muğla,36.909,27.5465,4.1,7.06
Muğla,36.8685,27.4266,4.5,10.05
Muğla,36.9726,27.4103,4.2,15.43
Muğla,36.9143,27.5666,4.4,7.16
Muğla,36.9128,27.5803,4.3,11.82
Muğla,36.9533,27.3898,4.1,14.87
Muğla,36.854,27.5661,4.3,0.0
Muğla,37.0576,27.3166,4.1,19.03
Muğla,36.9353,27.4058,4.2,2.52
Muğla,36.926,27.575,4.5,6.97
Muğla,36.9136,27.3833,4.4,18.79
Muğla,36.8576,27.656,4.0,7.43
Muğla,36.974000000000004,27.523000000000003,6.3,7.8
Manisa,38.7615,27.8196,4.0,11.36
Manisa,38.6205,27.62,4.1,10.26
Manisa,38.6325,27.5446,4.0,16.53
Manisa,38.735,27.7955,4.8,7.21
Manisa,38.7331,27.801,4.1,7.1
Manisa,38.7786,27.7755,4.1,7.21
Manisa,38.7365,27.805999999999997,4.5,9.78
Manisa,38.7115,27.7956,4.8,6.9
Manisa,38.7185,27.7843,4.6,8.64
Manisa,38.7436,27.8468,4.0,4.44
Manisa,38.7386,27.8025,4.4,9.17
Manisa,38.7358,27.8156,5.1,11.03
Erzincan,39.7691,39.4771,4.1,10.06
Aydın,37.8695,27.1431,4.2,7.05
Erzurum,40.0566,40.705,4.7,6.41
İzmir,37.8695,27.1403,4.2,5.08
Van,38.2635,42.9258,4.1,11.66
Van,38.2651,42.9285,4.5,12.44
Manisa,38.6313,27.5873,4.9,13.2
Uşak,38.7923,29.0526,4.9,5.71
Balıkesir,39.3975,28.463,4.2,10.59
Manisa,38.635999999999996,27.6258,4.2,21.92
Şırnak,37.5431,42.6735,4.0,14.16
Muğla,37.1533,28.647,5.0,11.33
Van,38.708,43.5396,4.2,14.54
Manisa,38.6271,27.5836,4.0,18.4
Konya,38.4801,31.7975,4.0,13.84
Manisa,38.6275,27.5718,4.3,12.56
Isparta,38.2003,31.0575,4.0,14.87
Kahramanmaraş,38.2868,37.1816,4.0,12.0
Çanakkale,39.5541,26.1126,4.2,9.65
Erzurum,40.0175,42.2395,4.1,7.08
Elazığ,38.6226,39.7938,4.0,16.6
Çanakkale,39.5446,26.1765,4.3,4.6
Adıyaman,37.578,38.5076,4.0,9.34
Balıkesir,39.965,27.6536,4.1,15.03
Adıyaman,37.578,38.4998,4.0,7.71
Adıyaman,37.5823,38.4915,4.4,6.94
Adıyaman,37.5833,38.4873,4.2,7.58
Adıyaman,37.5955,38.4866,5.5,9.76
Çanakkale,39.492,26.0968,4.7,10.71
Çanakkale,39.4975,26.0835,4.0,10.47
Osmaniye,37.0066,36.0965,4.4,3.75
Çanakkale,39.5486,26.1225,4.3,9.48
Şırnak,37.5161,42.6993,4.1,14.97
Çanakkale,39.5178,26.0885,4.6,12.3
Çanakkale,39.5336,26.17,5.3,7.0
Çanakkale,39.5496,26.1183,4.0,5.42
Adana,37.4885,35.6898,4.0,7.48
Ağrı,39.777,42.5345,4.5,4.5
Çanakkale,39.5236,26.1946,5.0,7.01
Çanakkale,39.5415,26.1036,4.0,11.17
Çanakkale,39.5333,26.1775,4.1,5.29
